command,arguments,description,effect
"/tools","[--connect]",List tool metadata,Lists registered tools and optionally discovers MCP tools under the execution policy
"/mcp","[--connect]",List MCP servers,Lists configured servers and optionally discovers their tool counts
"/help","",Show slash commands,Prints the available slash commands
"/exit","",Exit interactive mode,Ends the interactive session
"/session","",Show the current session information,Prints the full session ID and diagnostic summary
"/model","",Show the current model,Prints the current provider and model
"/model","provider:model",Switch the current model,Updates the provider and model for subsequent requests
"/debug","",Show debug logging state,Prints whether debug logging is on or off
"/debug","on",Enable debug logging,Turns debug logging on for subsequent requests
"/debug","off",Disable debug logging,Turns debug logging off for subsequent requests
"/skills","",List Skill metadata,Displays source IDs and digests without activating instructions
"/skill","ID@DIGEST",Select a Skill,Adds a pending one-Run selection
"/skill","clear",Clear pending Skills,Leaves historical snapshots intact
